symbol,synonyms,gene_locus,gene_id,transcript_id,conservation,conservation_ortholog,conservation_species,biological_context,context_detail,tissue/cell line,genome_variation,variation_detail,epigenetic_modification,modification_detail,expression,expression_detail,regulator_type,regulator,regulator_interaction,regulator_effect,target_type,target,target_interaction,target_effect,experimental_method,molecular_function,biological_process,pathway,functional_mechanism,clinical_detail,drug,description,pmid
IDI2-AS1,HT009;Em:AC022536.4;C10orf110;IDI2-AS,10p15.3,HSALNG0075528,"HSALNT0157292,HSALNT0157293,HSALNT0157294,HSALNT0157295,HSALNT0157296,HSALNT0157297,HSALNT0157298,HSALNT0157299,HSALNT0157301,HSALNT0289009,HSALNT0355564,HSALNT0355565,HSALNT0355566,HSALNT0355567,HSALNT0355568,HSALNT0355569,HSALNT0355570,HSALNT0355571,HSALNT0355572",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg25614935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
IFNG-AS1,Tmevpg1;LincR-Ifng-3'AS;NEST,12q15,HSALNG0092137,"HSALNT0190907,HSALNT0190908,HSALNT0190911,HSALNT0190912,HSALNT0190913,HSALNT0190915,HSALNT0190916,HSALNT0190918,HSALNT0190927,HSALNT0190928,HSALNT0190929,HSALNT0190930,HSALNT0190931,HSALNT0190936,HSALNT0190937,HSALNT0368970,HSALNT0368971,HSALNT0368972,HSALNT0368973,HSALNT0368974,HSALNT0368975,HSALNT0368976,HSALNT0368977,HSALNT0368978,HSALNT0368979,HSALNT0368986",,NA,,Disease,multiple sclerosis,NA,NA,NA,NA,NA,RNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pcr;Rtnapcr,NA,NA,NA,NA,NA,NA,Tmevpg1 (ifng-as1) is another lncRNA that may be involved in ms.,12719555
IL6R-AS1,RP11-350G8.5,1q21.3,HSALNG0007394,"HSALNT0015524,HSALNT0015525,HSALNT0015531,HSALNT0015532,HSALNT0015534,HSALNT0295869,HSALNT0295870,HSALNT0295871,HSALNT0295872,HSALNT0295873,HSALNT0295874",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg06980173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
KCNK15-AS1,RP11-445H22.4,20q13.12,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg03562120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,24270187
KCNQ1OT1,KvDMR1;KCNQ1-AS2;KvLQT1-AS;LIT1;NCRNA00012,11p15.5,HSALNG0082235,"HSALNT0171216,HSALNT0171217,HSALNT0171219,HSALNT0289421,HSALNT0361046,HSALNT0361047,HSALNT0361048,HSALNT0361049,HSALNT0361050,HSALNT0361058",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg07556018;cg13428066;cg11342234;cg08160246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LBX1-AS1,FLJ41350,10q24.32,HSALNG0080195,"HSALNT0167229,HSALNT0167230,HSALNT0167231,HSALNT0167232,HSALNT0167233,HSALNT0167235,HSALNT0167236,HSALNT0167237,HSALNT0167238,HSALNT0167240,HSALNT0167241,HSALNT0167242,HSALNT0167245,HSALNT0167246,HSALNT0167249,HSALNT0167250,HSALNT0359644,HSALNT0359645,HSALNT0359646,HSALNT0359647,HSALNT0359648,HSALNT0359649,HSALNT0359650,HSALNT0359651,HSALNT0359652,HSALNT0359653,HSALNT0359654,HSALNT0359655,HSALNT0359656,HSALNT0359657,HSALNT0359658",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg11727383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00111,C21orf21;NCRNA00111,21q22.3,HSALNG0133229,"HSALNT0273900,HSALNT0273908,HSALNT0273909,HSALNT0273912,HSALNT0404319",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg03364381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00163,NLC1-A;NLC1A;C21orf134;NCRNA00163,21q22.3,HSALNG0133590,"HSALNT0274571,HSALNT0289321,HSALNT0404599,HSALNT0404600,HSALNT0404601",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg15765398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00239,C14orf72;NCRNA00239,14q32.31,HSALNG0103853,"HSALNT0216224,HSALNT0216225,HSALNT0216226,HSALNT0379408",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg06618497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00242,FLJ31451;dJ266L20.5;C6orf122;NCRNA00242,6q27,HSALNG0149582,"HSALNT0338713,HSALNT0338717",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg16298927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00273,TOP;NCRNA00273-1;NCRNA00273,16p11.2,HSALNG0111051,"HSALNT0230191,HSALNT0230193,HSALNT0230195,HSALNT0230204,HSALNT0230205,HSALNT0230206,HSALNT0230207,HSALNT0230208,HSALNT0230209,HSALNT0230210,HSALNT0230214,HSALNT0230215,HSALNT0230216,HSALNT0385488",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg07223266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00299,FLJ45673;C2orf46;NCRNA00299,2p25.1,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg11827101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00304,FLJ36701;C16orf81;NCRNA00304,16q24.3,HSALNG0113581,"HSALNT0235419,HSALNT0235421,HSALNT0235422,HSALNT0387799,HSALNT0387800,HSALNT0387801,HSALNT0387802",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg04694209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00311,MGC22001;TMEM148;NCRNA00311,16q24.1,HSALNG0113198,"HSALNT0234617,HSALNT0234618,HSALNT0234620,HSALNT0289416,HSALNT0387480",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg13391235;cg01824618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00469,FLJ40319;C17orf54,17q25.1,HSALNG0118604,"HSALNT0245010,HSALNT0245011,HSALNT0245014,HSALNT0245020,HSALNT0245028,HSALNT0245029,HSALNT0245030,HSALNT0245031,HSALNT0245033,HSALNT0245034,HSALNT0245035,HSALNT0245058,HSALNT0391588,HSALNT0391589,HSALNT0391590,HSALNT0391591,HSALNT0391592,HSALNT0391593",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg22433759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00484,C9orf73,9q22.2,HSALNG0072704,"HSALNT0151998,HSALNT0151999,HSALNT0152000,HSALNT0152001,HSALNT0152003,HSALNT0152005,HSALNT0152006,HSALNT0152008,HSALNT0152009,HSALNT0152010,HSALNT0152011,HSALNT0152013,HSALNT0152014,HSALNT0152015,HSALNT0152017,HSALNT0152019,HSALNT0152020,HSALNT0152022,HSALNT0152024,HSALNT0152025,HSALNT0152026,HSALNT0152027,HSALNT0152028,HSALNT0152029,HSALNT0152031,HSALNT0152032,HSALNT0152033,HSALNT0152034,HSALNT0152036,HSALNT0152037,HSALNT0152039,HSALNT0353618,HSALNT0353619,HSALNT0353620,HSALNT0353621,HSALNT0353622,HSALNT0353623,HSALNT0353624,HSALNT0353625,HSALNT0353626,HSALNT0353627,HSALNT0353628,HSALNT0353629,HSALNT0353630,HSALNT0353631,HSALNT0353634,HSALNT0353635,HSALNT0353636,HSALNT0353637,HSALNT0353638,HSALNT0353639,HSALNT0353645,HSALNT0353646,HSALNT0353647,HSALNT0353648,HSALNT0353649",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg13439189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00488,FLJ41232;C3orf66,3q13.13,HSALNG0147584,"HSALNT0313735,HSALNT0313736,HSALNT0313737",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg13916298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00511,onco-lncRNA-12,17q24.3,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg23258611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00513,AC016831.7,7q32.3,HSALNG0061382,"HSALNT0129039,HSALNT0129040,HSALNT0129041,HSALNT0129043,HSALNT0129044,HSALNT0129048,HSALNT0129051,HSALNT0129052,HSALNT0129056,HSALNT0129070,HSALNT0129071,HSALNT0129072,HSALNT0129073,HSALNT0129074,HSALNT0129077,HSALNT0129078,HSALNT0343367,HSALNT0343368,HSALNT0343369,HSALNT0343370,HSALNT0343371,HSALNT0343372,HSALNT0343373,HSALNT0343374,HSALNT0343375,HSALNT0343376,HSALNT0343377,HSALNT0343378,HSALNT0343379,HSALNT0343380,HSALNT0343381,HSALNT0343382,HSALNT0343383,HSALNT0343384,HSALNT0343396,HSALNT0343397,HSALNT0343398,HSALNT0343399,HSALNT0343428,HSALNT0343429,HSALNT0343430,HSALNT0343431,HSALNT0343432,HSALNT0343433",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg09187338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00550,,13q21.33,HSALNG0097760,"HSALNT0203318,HSALNT0203319,HSALNT0203320,HSALNT0203321,HSALNT0203325,HSALNT0203331,HSALNT0203332,HSALNT0203333,HSALNT0203335,HSALNT0373908,HSALNT0373909,HSALNT0373910,HSALNT0373911,HSALNT0373912,HSALNT0373913,HSALNT0373914,HSALNT0373915",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg11746996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00574,FLJ13162;dJ182D15.1;CRALA;C6orf208,6q27,HSALNG0055393,"HSALNT0117235,HSALNT0338714,HSALNT0338715,HSALNT0338716",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg16298927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00598,TTL;lncFOXO1,13q14.11,HSALNG0096529,"HSALNT0200371,HSALNT0200372,HSALNT0200373,HSALNT0200374,HSALNT0200375,HSALNT0200376,HSALNT0200377,HSALNT0200378,HSALNT0200379,HSALNT0200380,HSALNT0200381,HSALNT0200382,HSALNT0200383,HSALNT0200384,HSALNT0200385,HSALNT0200386,HSALNT0200387,HSALNT0200388,HSALNT0200389,HSALNT0200390,HSALNT0200391,HSALNT0200392,HSALNT0200393,HSALNT0200394,HSALNT0200395,HSALNT0200396,HSALNT0200397,HSALNT0200398,HSALNT0200399,HSALNT0200400,HSALNT0200402,HSALNT0200410,HSALNT0200420,HSALNT0200421,HSALNT0200422,HSALNT0200423,HSALNT0200425,HSALNT0200429,HSALNT0200430,HSALNT0200431,HSALNT0200433,HSALNT0200434,HSALNT0200436,HSALNT0200437,HSALNT0200440,HSALNT0200443,HSALNT0200444,HSALNT0200445,HSALNT0200446,HSALNT0200449,HSALNT0372810,HSALNT0372811,HSALNT0372812,HSALNT0372813,HSALNT0372814,HSALNT0372815,HSALNT0372816,HSALNT0372817,HSALNT0372818,HSALNT0372819,HSALNT0372820,HSALNT0372823,HSALNT0372825,HSALNT0372826,HSALNT0372827,HSALNT0372829,HSALNT0372832,HSALNT0372833,HSALNT0372834,HSALNT0372835,HSALNT0372836,HSALNT0372839,HSALNT0372840",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg26977769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,24270187
LINC00612,MGC40170;FLJ41814;C12orf33,12p13.31,HSALNG0089110,"HSALNT0185337,HSALNT0185339,HSALNT0289303,HSALNT0366589,HSALNT0366590,HSALNT0366591",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg03539765;cg02883147;cg13575925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00628,,1q32.1,HSALNG0009871,"HSALNT0020406,HSALNT0020407,HSALNT0297580",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg20002843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00842,,10q11.22,HSALNG0077756,"HSALNT0162235,HSALNT0162292,HSALNT0357703,HSALNT0357704,HSALNT0357705,HSALNT0357706,HSALNT0357707,HSALNT0357708,HSALNT0357709,HSALNT0357710,HSALNT0357711,HSALNT0357712,HSALNT0357713,HSALNT0357714,HSALNT0357715",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg27382409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00862,C1orf98;SMIM16,1q32.1,HSALNG0009573,"HSALNT0019798,HSALNT0019799,HSALNT0019804,HSALNT0019807,HSALNT0019808,HSALNT0019809,HSALNT0019810,HSALNT0019811,HSALNT0019812,HSALNT0019819,HSALNT0019821,HSALNT0019825,HSALNT0019826,HSALNT0019827,HSALNT0019829,HSALNT0019830,HSALNT0019831,HSALNT0019832,HSALNT0019833,HSALNT0019834,HSALNT0297363,HSALNT0297366,HSALNT0297367,HSALNT0297368,HSALNT0297369,HSALNT0297370,HSALNT0297371,HSALNT0297372,HSALNT0297373,HSALNT0297374,HSALNT0297375,HSALNT0297376,HSALNT0297377",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg27058077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00908,ASRPS,18q23,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg00220661;cg16270399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC00921,FLJ39639,16p13.3,HSALNG0109143,"HSALNT0226915,HSALNT0226917,HSALNT0384242,HSALNT0384243",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg04643527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC01122,FLJ30838;AC007092.1,2p16.1,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg22363368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC01127,,2q11.2,HSALNG0017393,"HSALNT0036607,HSALNT0036608,HSALNT0036609,HSALNT0036610,HSALNT0036612,HSALNT0036613,HSALNT0036617,HSALNT0036618,HSALNT0036619,HSALNT0036620,HSALNT0036621,HSALNT0036622,HSALNT0036623,HSALNT0036624,HSALNT0036625,HSALNT0036631,HSALNT0036633,HSALNT0036634,HSALNT0036635,HSALNT0304509,HSALNT0304510,HSALNT0304511,HSALNT0304512,HSALNT0304513,HSALNT0304514,HSALNT0304515,HSALNT0304516,HSALNT0304517,HSALNT0304518,HSALNT0304519,HSALNT0304520,HSALNT0304521,HSALNT0304522,HSALNT0304523,HSALNT0304524",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg10667895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC01395,TCONS_00019178,11q24.3,HSALNG0088162,"HSALNT0183335,HSALNT0183337,HSALNT0183341,HSALNT0183343,HSALNT0183344,HSALNT0183345,HSALNT0183350,HSALNT0183351,HSALNT0183353,HSALNT0183354,HSALNT0183367,HSALNT0183368,HSALNT0365771,HSALNT0365772,HSALNT0365773,HSALNT0365774,HSALNT0365775,HSALNT0365776,HSALNT0365777,HSALNT0365778,HSALNT0365780,HSALNT0365781",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg06213635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC02245,lnc-SERTAD2-3;AC007386.2,2p14,HSALNG0146489,"HSALNT0303025,HSALNT0303029",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg17786894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC02590,AC016735.2,2p21,HSALNG0014513,"HSALNT0030809,HSALNT0302078",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg21241410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC02870,bA432J24.4;C10orf91,10q26.3,HSALNG0081790,"HSALNT0170444,HSALNT0360754,HSALNT0360755",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg01512840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC02905,FLJ30972;G4DM;C8orf49,8p23.1,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg24387126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC02908,FLJ36268;FLJ42909;C9orf139,9q34.3,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg21120249;cg02679745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC02909,C12orf77,12p12.1,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg15460816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LINC02910,FLJ33860;C20orf197,20q13.33,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg25724895;cg09076077;cg26482164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
LNCPRESS1,,7q22.1,HSALNG0149754,HSALNT0342368,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg00552235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
MDS2,,1p36,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg26256901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
MEF2C-AS2,CTC-467M3.1,5q14.3,HSALNG0043374,"HSALNT0091035,HSALNT0091036,HSALNT0091037,HSALNT0091038,HSALNT0091039,HSALNT0091044,HSALNT0091045,HSALNT0091046,HSALNT0091053,HSALNT0327971,HSALNT0327972,HSALNT0327973,HSALNT0327974,HSALNT0327975,HSALNT0327976,HSALNT0327977,HSALNT0327983,HSALNT0327984,HSALNT0327985",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg15422005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
MEG3,GTL2;NCRNA00023;LINC00023;onco-lncRNA-83,14q32.2,,,Y,Mouse,Mammal,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg24183098;cg09285543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
MEG8,NCRNA00024;Irm;Rian;Bsr;LINC00024;AL132709.8;lnc-MGC;SNHG23;SNHG24,14q32.31,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg00166915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,24270187
MEG8,NCRNA00024;Irm;Rian;Bsr;LINC00024;AL132709.8;lnc-MGC;SNHG23;SNHG24,14q32.31,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg05349024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
MEG9,LINC00584,14q32.31,HSALNG0103805,"HSALNT0216055,HSALNT0216056,HSALNT0216057,HSALNT0216059,HSALNT0216060,HSALNT0216063,HSALNT0289166,HSALNT0379297,HSALNT0379298,HSALNT0379299",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg10548805;cg21230021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
MIR100HG,AGD1;lncRNA-N2;linc-NeD125,11q24.1,HSALNG0087764,"HSALNT0182356,HSALNT0182357,HSALNT0182358,HSALNT0182359,HSALNT0182360,HSALNT0182361,HSALNT0182362,HSALNT0182363,HSALNT0182370,HSALNT0182371,HSALNT0182372,HSALNT0182373,HSALNT0182374,HSALNT0182375,HSALNT0182377,HSALNT0182378,HSALNT0182379,HSALNT0182381,HSALNT0182383,HSALNT0182385,HSALNT0182387,HSALNT0182388,HSALNT0182389,HSALNT0182391,HSALNT0182393,HSALNT0182395,HSALNT0182399,HSALNT0182402,HSALNT0182403,HSALNT0182405,HSALNT0182407,HSALNT0182409,HSALNT0182414,HSALNT0182415,HSALNT0182416,HSALNT0182418,HSALNT0182421,HSALNT0182422,HSALNT0182426,HSALNT0182427,HSALNT0182428,HSALNT0182429,HSALNT0182431,HSALNT0182432,HSALNT0182434,HSALNT0182437,HSALNT0182438,HSALNT0182441,HSALNT0182442,HSALNT0182447,HSALNT0182449,HSALNT0182451,HSALNT0182452,HSALNT0182455,HSALNT0182457,HSALNT0182459,HSALNT0182461,HSALNT0182462,HSALNT0182464,HSALNT0182465,HSALNT0182467,HSALNT0182469,HSALNT0182482,HSALNT0182484,HSALNT0182499,HSALNT0182501,HSALNT0182503,HSALNT0182505,HSALNT0182506,HSALNT0182508,HSALNT0182510,HSALNT0182512,HSALNT0182514,HSALNT0182517,HSALNT0182518,HSALNT0182523,HSALNT0182531,HSALNT0182532,HSALNT0182534,HSALNT0182548,HSALNT0182549,HSALNT0289173,HSALNT0365357,HSALNT0365358,HSALNT0365359,HSALNT0365360,HSALNT0365361,HSALNT0365362,HSALNT0365363,HSALNT0365364,HSALNT0365365,HSALNT0365366,HSALNT0365367,HSALNT0365368,HSALNT0365369,HSALNT0365370,HSALNT0365371,HSALNT0365372,HSALNT0365373,HSALNT0365374,HSALNT0365375,HSALNT0365376,HSALNT0365377,HSALNT0365378,HSALNT0365379,HSALNT0365380,HSALNT0365381,HSALNT0365382,HSALNT0365383,HSALNT0365384,HSALNT0365385,HSALNT0365386,HSALNT0365387,HSALNT0365388,HSALNT0365389,HSALNT0365390,HSALNT0365391,HSALNT0365392,HSALNT0365393,HSALNT0365394,HSALNT0365395,HSALNT0365396,HSALNT0365397,HSALNT0365398,HSALNT0365399,HSALNT0365400,HSALNT0365401,HSALNT0365402,HSALNT0365403,HSALNT0365404,HSALNT0365405,HSALNT0365406,HSALNT0365407,HSALNT0365408,HSALNT0365409,HSALNT0365410,HSALNT0365411,HSALNT0365412,HSALNT0365413,HSALNT0365414,HSALNT0365415,HSALNT0365416,HSALNT0365417,HSALNT0365418,HSALNT0365419,HSALNT0365420,HSALNT0365421,HSALNT0365422,HSALNT0365423,HSALNT0365424,HSALNT0365425,HSALNT0365426,HSALNT0365427,HSALNT0365428,HSALNT0365429,HSALNT0365430,HSALNT0365431,HSALNT0365432,HSALNT0365433,HSALNT0365434,HSALNT0365435,HSALNT0365436,HSALNT0365437,HSALNT0365438,HSALNT0365439,HSALNT0365440,HSALNT0365441,HSALNT0365442,HSALNT0365443,HSALNT0365444,HSALNT0365445,HSALNT0365446,HSALNT0365447,HSALNT0365448,HSALNT0365449,HSALNT0365450,HSALNT0365451,HSALNT0365452,HSALNT0365453,HSALNT0365454,HSALNT0365455,HSALNT0365456,HSALNT0365457,HSALNT0365458",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg21170682;cg21585512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
MIR200CHG,U47924.27,12p13.31,HSALNG0088950,"HSALNT0184996,HSALNT0184997,HSALNT0184998,HSALNT0184999,HSALNT0289177,HSALNT0366460,HSALNT0366461,HSALNT0366462,HSALNT0366463,HSALNT0366464,HSALNT0366465,HSALNT0366466",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg16642299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
MIR34AHG,,1p36.22,HSALNG0000682,"HSALNT0001407,HSALNT0001412,HSALNT0289180,HSALNT0290171,HSALNT0290172,HSALNT0290173,HSALNT0290174,HSALNT0290175,HSALNT0290176,HSALNT0290177,HSALNT0290178,HSALNT0290179,HSALNT0290180,HSALNT0290181,HSALNT0290187,HSALNT0290195",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg05933510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
MIR3667HG,C22orf34,22q13.33,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg01652190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
MIR497HG,MIR195HG,17p13.1,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg02329670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
MIRLET7BHG,linc-Ppara,22q13.31,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg15702185;cg09328012;cg27214856;cg11538810;cg11383208;cg20076516;cg25685359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,24270187
MIRLET7BHG,linc-Ppara,22q13.31,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg03834031;cg24349631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
NGF-AS1,RP4-663N10.1,1p13.2,HSALNG0006265,"HSALNT0013095,HSALNT0013096,HSALNT0013097,HSALNT0013098,HSALNT0013099,HSALNT0013100,HSALNT0013101,HSALNT0013103,HSALNT0013104,HSALNT0013105,HSALNT0013111,HSALNT0013112,HSALNT0013113,HSALNT0294811,HSALNT0294812,HSALNT0294814,HSALNT0294815,HSALNT0294816,HSALNT0294817,HSALNT0294818,HSALNT0294819",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg27291710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
